Date,High,Low,Open,Close,Volume,Adj Close
1970-01-31,86.33000183105469,84.41999816894531,0.0,85.0199966430664,12320000,85.0199966430664
1970-02-28,90.33000183105469,88.41999816894531,0.0,89.5,12890000,89.5
1970-03-31,90.16999816894531,88.8499984741211,0.0,89.62999725341797,8370000,89.62999725341797
1970-04-30,82.56999969482422,80.76000213623047,0.0,81.5199966430664,9880000,81.5199966430664
1970-05-31,76.91999816894531,73.52999877929688,0.0,76.55000305175781,14630000,76.55000305175781
1970-06-30,73.88999938964844,72.25,0.0,72.72000122070312,9280000,72.72000122070312
1970-07-31,79.02999877929688,77.44000244140625,0.0,78.05000305175781,11640000,78.05000305175781
1970-08-31,82.33000183105469,80.94999694824219,0.0,81.5199966430664,10740000,81.5199966430664
1970-09-30,84.98999786376953,82.77999877929688,0.0,84.30000305175781,14830000,84.30000305175781
1970-10-31,83.80000305175781,82.5199966430664,0.0,83.25,10520000,83.25
1970-11-30,87.5999984741211,85.79000091552734,0.0,87.19999694824219,17700000,87.19999694824219
1970-12-31,92.79000091552734,91.36000061035156,0.0,92.1500015258789,13390000,92.1500015258789
1971-01-31,96.48999786376953,94.79000091552734,0.0,95.87999725341797,20960000,95.87999725341797
1971-02-28,97.54000091552734,95.83999633789062,0.0,96.75,17250000,96.75
1971-03-31,101.05000305175781,99.69000244140625,0.0,100.30999755859375,17610000,100.30999755859375
1971-04-30,104.95999908447266,103.25,0.0,103.94999694824219,17490000,103.94999694824219
1971-05-31,100.16999816894531,98.68000030517578,0.0,99.62999725341797,11760000,99.62999725341797
1971-06-30,100.29000091552734,98.68000030517578,0.0,98.69999694824219,15410000,98.69999694824219
1971-07-31,96.77999877929688,95.08000183105469,0.0,95.58000183105469,12970000,95.58000183105469
1971-08-31,99.76000213623047,98.31999969482422,0.0,99.02999877929688,10430000,99.02999877929688
1971-09-30,98.97000122070312,97.4800033569336,0.0,98.33999633789062,13490000,98.33999633789062
1971-10-31,94.70999908447266,93.27999877929688,0.0,94.2300033569336,11710000,94.2300033569336
1971-11-30,94.43000030517578,92.51000213623047,0.0,93.98999786376953,18320000,93.98999786376953
1971-12-31,102.08999633789062,102.08999633789062,0.0,102.08999633789062,14040000,102.08999633789062
1972-01-31,104.87999725341797,103.30000305175781,0.0,103.94000244140625,18250000,103.94000244140625
1972-02-29,107.16000366210938,105.44999694824219,0.0,106.56999969482422,20320000,106.56999969482422
1972-03-31,107.66999816894531,106.06999969482422,0.0,107.19999694824219,14360000,107.19999694824219
1972-04-30,108.27999877929688,106.69999694824219,0.0,107.66999816894531,14160000,107.66999816894531
1972-05-31,110.5199966430664,108.91999816894531,0.0,109.52999877929688,15230000,109.52999877929688
1972-06-30,107.91000366210938,106.4000015258789,0.0,107.13999938964844,12860000,107.13999938964844
1972-07-31,108.05999755859375,106.5999984741211,0.0,107.38999938964844,11120000,107.38999938964844
1972-08-31,111.5199966430664,110.08000183105469,0.0,111.08999633789062,12340000,111.08999633789062
1972-09-30,110.55000305175781,108.05000305175781,0.0,110.55000305175781,16250000,110.55000305175781
1972-10-31,112.05000305175781,110.4000015258789,0.0,111.58000183105469,15450000,111.58000183105469
1972-11-30,117.38999938964844,115.73999786376953,0.0,116.66999816894531,19340000,116.66999816894531
1972-12-31,118.7699966430664,116.69999694824219,0.0,118.05000305175781,27550000,118.05000305175781
1973-01-31,116.83999633789062,115.05000305175781,0.0,116.02999877929688,14870000,116.02999877929688
